Audio File,Transcript File,Model,Runtime (s),Language,Segments,CPU Usage (%),Memory Usage (%)
edison_lifeinventions_00_dyer_martin_64kb.mp3,audiobook_edison_lifeinventions_chapter_01.txt,Faster-Whisper(base),26.43,en,59,39.9,56.6
edison_lifeinventions_01_dyer_martin_64kb.mp3,audiobook_edison_lifeinventions_chapter_02.txt,Faster-Whisper(base),60.47,en,134,49.7,61.5
